date,cust_email,cust_location,product_id,product_quantity
2020-01-01,zoob@gmail.com,25247,IKX8AAVVQR4Z,2
2020-01-01,zoob@gmail.com,25247,J66RING5YZ0N,1
2020-01-01,zoob@gmail.com,25247,U0IHO2ORMHTO,1
2020-01-01,zoob@gmail.com,25247,MUZAE9IQ2JEZ,1
2020-01-01,shou@outlook.com,75948,2JGNJIP3SL8C,1
2020-01-01,shou@outlook.com,75948,3H1HR1IT1M84,1
2020-01-01,shou@outlook.com,75948,TMS4WYN0VSFH,2
2020-01-01,skeoh@aol.com,65140,UWOJT76XNM67,1
2020-01-01,skeoh@aol.com,65140,8YS7ZX9ICX82,3
2020-01-01,skeoh@aol.com,65140,PA65LSJDB6OQ,1
2020-01-01,skeoh@aol.com,65140,F1Z01KW3L7KI,1
2020-01-01,smiw@gmail.com,74980,55IHF56EKHFL,1
2020-01-01,ge@aol.com,79005,D6XQ8L5YKMWG,1
2020-01-01,ge@aol.com,79005,Q4GF2UMJAM77,2
2020-01-01,blew@yahoo.com,32380,O39Q4ZX4XSAK,3
2020-01-01,vae@yahoo.com,89301,ACWZ9IBHG9OI,4
2020-01-01,vae@yahoo.com,89301,H4VCUUWCKGV6,5
2020-01-01,vae@yahoo.com,89301,1H5WNXK5DLZ5,1
2020-01-01,fuow@gmail.com,80612,ZDN4F5L2CNSS,1
2020-01-01,spapt@live.com,77301,3U3NMR60NAXT,2
2020-01-01,rok@inbox.com,84887,QQMXF1UXDWDV,1
2020-01-01,rok@inbox.com,84887,NTQ9VMQG0CNN,3
2020-01-01,pryp@gmail.com,79422,9PT6NECQNTOV,2
2020-01-01,froift@live.com,78771,S0SAV8KDCQHD,1
2020-01-01,froift@live.com,78771,9HIY7ULB9SGI,2
2020-01-01,froift@live.com,78771,0G559EOQ0OJ0,1
2020-01-01,froift@live.com,78771,ZG0X93GWBHHZ,4
2020-01-01,froift@live.com,78771,ANODCOLJZVTD,1
2020-01-01,spyr@yahoo.com,12982,08HY0QBWXF4F,1
2020-01-01,koi@yahoo.com,63688,T1VYPJ2C4SG6,1
2020-01-01,koi@yahoo.com,63688,EIQ9SM1N74CV,2
2020-01-01,koi@yahoo.com,63688,Y0GCR1JGB8LC,1
2020-01-02,fraak@gmail.com,11439,2KZ8UA7WAEQ5,1
2020-01-02,driank@aol.com,98864,QOHXU0AD2VSF,4
2020-01-02,driank@aol.com,98864,94YCJM45IXP7,2
2020-01-02,jaum@gmail.com,44215,E450M9LFR3FH,1
2020-01-02,zoi@icloud.com,55816,2HIMD3KS73YS,1
2020-01-02,sneaw@gmail.com,58793,11XH4OV5MRIZ,1
2020-01-02,sneaw@gmail.com,58793,E3FTSHKPF21F,1
2020-01-02,kuosk@icloud.com,25565,67SYN0RFSLJK,1
2020-01-02,penk@yahoo.com,42302,9912BBUM2TH3,1
2020-01-02,plect@live.com,65423,W2O3DD0R3KOX,1
2020-01-02,plect@live.com,65423,8IHURHJG2V4W,7
2020-01-02,plect@live.com,65423,C2UVP86LBPFL,1
2020-01-02,lect@msn.com,82828,FVKFYKJNWHCY,1
2020-01-02,lect@msn.com,82828,69NP48YP0AGQ,1
2020-01-02,crah@hotmail.com,12800,ZC3TIMH8YXNR,2
2020-01-02,crah@hotmail.com,12800,WCV2RWD9P5X6,1
2020-01-02,crah@hotmail.com,12800,C5Y0HFLRE20N,4
2020-01-02,crah@hotmail.com,12800,F0GFX01XDUMN,1
2020-01-02,miot@icloud.com,71358,NTVGO54YP7QX,1
2020-01-02,proaw@yahoo.com,08505,V6T04FJZNG2W,1
2020-01-02,stek@yahoo.com,82899,3QTY3OZTH28Z,3
2020-01-02,dao@outlook.com,79932,9SVJX504TRA8,1
2020-01-02,stuep@inbox.com,96281,LMUD5NJSLHQN,1
2020-01-02,sni@live.com,13179,5QRMW2LY211H,1
2020-01-02,sni@live.com,13179,0PC45Q1FAEQD,2
2020-01-02,sni@live.com,13179,BOMKATMMNKI7,1
2020-01-02,nish@outlook.com,86064,ICI8LWNKU61J,3
2020-01-02,nish@outlook.com,86064,UNVKGHF2QTT5,1
2020-01-02,nish@outlook.com,86064,K7ROCPUQ5PZ0,3
2020-01-02,soaz@gmail.com,83921,VSILIF13H2CE,1
2020-01-02,bem@outlook.com,22323,US3ZCDPEQU12,1
2020-01-02,bem@outlook.com,22323,7ACRUZ9C1ZMS,1
2020-01-02,bem@outlook.com,22323,RARB61807PZE,2
2020-01-02,bliund@gmail.com,86096,0YIH5R3Q3LHU,1
2020-01-02,laam@aol.com,57178,2MKHHEP5OZUI,1
2020-01-02,laam@aol.com,57178,P9ZARR8OL7WD,1
2020-01-02,laam@aol.com,57178,KBWLK01C4K5O,3
2020-01-03,frach@outlook.com,45185,VXKHNNKIVJZ5,2
2020-01-03,frach@outlook.com,45185,Y4YLVKUXV0OB,2
2020-01-03,fryp@yahoo.com,98331,GPILFRU6B3NR,1
2020-01-03,fryp@yahoo.com,98331,RZ5WE03C21F6,2
2020-01-03,fryp@yahoo.com,98331,LNJ0NM4621CW,3
2020-01-03,muoft@yahoo.com,86567,HK9X6T0Y19UC,1
2020-01-03,muoft@yahoo.com,86567,8PG5901CIEN2,3
2020-01-03,muoft@yahoo.com,86567,EXYW4Z1FT1VH,2
2020-01-03,prui@hotmail.com,56944,0BH3HGG75BO3,1
2020-01-03,prui@hotmail.com,56944,4M2ICSETHDNP,1
2020-01-03,prui@hotmail.com,56944,M2GVASO7PX56,2
2020-01-03,yio@icloud.com,80786,SP1CVFT5SNP8,1
2020-01-03,yio@icloud.com,80786,VA4QF5IC4KTL,1
2020-01-03,yio@icloud.com,80786,Y5M879UCN8VP,1
2020-01-03,kueh@gmail.com,89786,I87LGY3CQTX7,2
2020-01-03,kueh@gmail.com,89786,KRP2GCME1UUG,3
2020-01-03,dry@live.com,91712,DBVDNU9001DU,3
2020-01-03,dry@live.com,91712,89TKNT5DSG4X,2
2020-01-03,beab@msn.com,98864,9SFVTU46MFQH,3
2020-01-03,sleo@yahoo.com,64357,5LCSV9ZD9NJJ,1
2020-01-03,hy@yahoo.com,38436,SUJ5FPLKT5Z4,1
2020-01-03,hy@yahoo.com,38436,E91PTI50FEXD,1
2020-01-03,nef@gmail.com,31942,XFNA354FAHJ0,1
2020-01-03,nef@gmail.com,31942,TKRTV6WZV3VO,1
2020-01-03,nef@gmail.com,31942,TPVC2M6TLOMV,3
2020-01-03,nef@gmail.com,31942,PVHSSDFCD3XP,1
2020-01-03,dig@live.com,78771,J8BR4V9WS7I4,2
2020-01-03,dig@live.com,78771,JYP2IGFNDMHB,1
2020-01-03,sleu@yahoo.com,05963,2NM0Q9GS70WW,1
2020-01-03,sleu@yahoo.com,05963,QFSVTNLWYN1F,2
2020-01-03,roof@msn.com,23889,P3FS5N7GAS0G,2
2020-01-03,gra@msn.com,12631,BWAS47M5F20U,1
2020-01-03,gra@msn.com,12631,CXTU9OHRZIUT,4
2020-01-03,gra@msn.com,12631,UGW73TLQ4SKI,2
2020-01-03,gra@msn.com,12631,SUJ2C0Z8YL9O,1
2020-01-04,yuo@aol.com,83438,GXAN6259NAC9,1
2020-01-04,fliu@msn.com,22744,885UV4WDC829,1
2020-01-04,fliu@msn.com,22744,PQI5W20ZNC56,3
2020-01-04,fliu@msn.com,22744,KK250S12Q4CB,3
2020-01-04,fliu@msn.com,22744,FMUX0WHOG0WU,2
2020-01-04,pe@icloud.com,94158,ZI67AQ9HTPXO,3
2020-01-04,stung@yahoo.com,93833,HE5U9H8WJBH1,1
2020-01-04,sung@outlook.com,83710,Z6EI9WGR1BV6,1
2020-01-04,sung@outlook.com,83710,JK5NEWZ1AKP2,1
2020-01-04,sung@outlook.com,83710,A5XRMVDG6VXR,1
2020-01-04,fleat@hotmail.com,54144,21CMYMM61HI0,2
2020-01-04,fleat@hotmail.com,54144,Y7NJBBZ4NS1R,4
2020-01-04,griu@yahoo.com,54812,JD2Q3V4DJXHI,3
2020-01-04,griu@yahoo.com,54812,01WVTD8OYTYO,1
2020-01-04,strai@aol.com,21504,9R9HWYR8KVHV,2
2020-01-04,shie@gmail.com,44871,7KQM2JPQRGJ9,2
2020-01-04,fra@outlook.com,60679,1JPZGQFGLT93,2
2020-01-04,fra@outlook.com,60679,XKC9IMEZPIAG,1
2020-01-04,fra@outlook.com,60679,HVQWYGTW613L,2
2020-01-04,sniu@msn.com,34466,I4B1GENS7VIG,3
2020-01-04,sniu@msn.com,34466,SMZDQWBYRSCG,1
2020-01-04,sniu@msn.com,34466,KNNEA8CY9I7R,2
2020-01-05,hiut@gmail.com,28444,TUJMQPISUP79,2
2020-01-05,hiut@gmail.com,28444,G5ZG077MTLMZ,1
2020-01-05,brum@yahoo.com,10122,O1E9YC2SWXSE,2
2020-01-05,brum@yahoo.com,10122,OX8GWM77LW2M,1
2020-01-05,brum@yahoo.com,10122,TMA2E7U4X2HV,3
2020-01-05,brum@yahoo.com,10122,LUK881EFPX28,4
2020-01-05,yest@yahoo.com,18866,16IFFBLQ9LX6,1
2020-01-05,yest@yahoo.com,18866,YWS3NI0GGHPB,2
2020-01-05,vasp@yahoo.com,17279,G69G3JJV9D53,2
2020-01-05,gousp@gmail.com,15641,GJG5WQFH9VW4,1
2020-01-05,gousp@gmail.com,15641,1YX0KM0M3XKO,1
2020-01-05,snil@gmail.com,10001,OJ12D6R3FI7W,1
2020-01-05,snil@gmail.com,10001,9CM7N47WH95H,2
2020-01-05,snil@gmail.com,10001,U2QT7HIAWBQG,5
2020-01-05,kon@live.com,74454,Y2LJB1NXJTMV,1
2020-01-05,chir@gmail.com,84791,947XMYI0AYPM,1
2020-01-05,chir@gmail.com,84791,4KAWFBNKFLIS,2
2020-01-05,chir@gmail.com,84791,9KBSZQRPKYPH,3
2020-01-05,chir@gmail.com,84791,4Q7FEKZWDV0J,2
2020-01-05,spo@outlook.com,82160,UB6WFU8VYOEN,1
2020-01-05,spo@outlook.com,82160,0RSUU7EUNH8V,1
2020-01-05,spo@outlook.com,82160,JEWZOJQOLNRQ,1
2020-01-05,spo@outlook.com,82160,UN2GYHM0YABP,1
2020-01-05,yuo@outlook.com,99489,ZG4DTB3DTAE4,2
2020-01-05,yia@live.com,04435,ME4APND84L3W,1
2020-01-05,yia@live.com,04435,43RWGOOWEYH5,1
2020-01-05,yia@live.com,04435,ESXA3OFCHAFA,3
2020-01-05,yia@live.com,04435,6UMCBAACTAEP,3
2020-01-05,zae@yahoo.com,21658,VSVHTLVC9HYO,1
2020-01-05,sly@live.com,06595,XC8INIGWFHXR,3
2020-01-05,smuant@gmail.com,76812,5JXPS0IIQLMI,1
2020-01-05,smuant@gmail.com,76812,SW6PSCACLF8C,3
2020-01-05,smuant@gmail.com,76812,KUGEL46L983Y,3
